obs,PIB
1995Q1,1366.958
1995Q2,1385.290
1995Q3,1407.582
1995Q4,1418.880
1996Q1,1432.500
1996Q2,1449.099
1996Q3,1462.731
1996Q4,1463.878
1997Q1,1462.587
1997Q2,1479.103
1997Q3,1488.259
1997Q4,1511.149
1998Q1,1516.512
1998Q2,1533.208
1998Q3,1549.088
1998Q4,1567.447
1999Q1,1582.019
1999Q2,1597.320
1999Q3,1618.748
1999Q4,1641.668
2000Q1,1668.068
2000Q2,1687.724
2000Q3,1706.015
2000Q4,1724.556
2001Q1,1752.144
2001Q2,1764.664
2001Q3,1777.506
2001Q4,1793.914
2002Q1,1808.837
2002Q2,1824.049
2002Q3,1844.400
2002Q4,1857.223
2003Q1,1864.055
2003Q2,1873.840
2003Q3,1897.956
2003Q4,1915.621
2004Q1,1934.474
2004Q2,1955.080
2004Q3,1971.456
2004Q4,1987.155
2005Q1,2001.928
2005Q2,2022.800
2005Q3,2043.876
2005Q4,2071.632
2006Q1,2096.078
2006Q2,2130.472
2006Q3,2153.889
2006Q4,2188.080
2007Q1,2223.098
2007Q2,2246.733
2007Q3,2271.530
2007Q4,2293.484
2008Q1,2315.729
2008Q2,2321.856
2008Q3,2314.679
2008Q4,2284.419
2009Q1,2223.590
2009Q2,2219.892
2009Q3,2230.047
2009Q4,2245.332
2010Q1,2259.021
2010Q2,2285.510
2010Q3,2300.375
2010Q4,2314.695
2011Q1,2343.445
2011Q2,2352.904
2011Q3,2360.217
2011Q4,2362.553
2012Q1,2369.214
2012Q2,2370.098
2012Q3,2373.245
2012Q4,2370.858
2013Q1,2379.395
2013Q2,2394.801
2013Q3,2399.937
2013Q4,2408.456
