obs,ProduccionCemento
1955M01,282.000
1955M02,262.000
1955M03,296.000
1955M04,304.000
1955M05,326.000
1955M06,321.000
1955M07,327.000
1955M08,327.000
1955M09,317.000
1955M10,334.000
1955M11,315.000
1955M12,340.000
1956M01,316.000
1956M02,271.000
1956M03,322.000
1956M04,314.000
1956M05,335.000
1956M06,338.000
1956M07,336.000
1956M08,354.000
1956M09,338.000
1956M10,367.000
1956M11,352.000
1956M12,356.000
1957M01,323.000
1957M02,315.000
1957M03,370.000
1957M04,370.000
1957M05,402.000
1957M06,406.000
1957M07,393.000
1957M08,394.000
1957M09,381.000
1957M10,382.000
1957M11,384.000
1957M12,390.000
1958M01,344.000
1958M02,345.000
1958M03,388.000
1958M04,398.000
1958M05,318.000
1958M06,404.000
1958M07,414.000
1958M08,424.000
1958M09,404.000
1958M10,419.000
1958M11,415.000
1958M12,436.000
1959M01,400.000
1959M02,372.000
1959M03,431.000
1959M04,425.000
1959M05,439.000
1959M06,441.000
1959M07,448.000
1959M08,463.000
1959M09,457.000
1959M10,472.000
1959M11,456.000
1959M12,415.000
1960M01,361.000
1960M02,360.000
1960M03,415.000
1960M04,420.000
1960M05,458.000
1960M06,446.000
1960M07,454.000
1960M08,471.000
1960M09,503.000
1960M10,490.000
1960M11,429.000
1960M12,407.000
1961M01,387.000
1961M02,408.000
1961M03,526.000
1961M04,520.000
1961M05,517.000
1961M06,513.000
1961M07,508.000
1961M08,529.000
1961M09,515.000
1961M10,489.000
1961M11,507.000
1961M12,511.000
1962M01,462.000
1962M02,484.000
1962M03,561.000
1962M04,563.000
1962M05,581.000
1962M06,538.000
1962M07,561.000
1962M08,574.000
1962M09,567.000
1962M10,618.000
1962M11,508.000
1962M12,545.000
1963M01,491.000
1963M02,469.000
1963M03,551.000
1963M04,590.000
1963M05,643.000
1963M06,606.000
1963M07,620.000
1963M08,630.000
1963M09,613.000
1963M10,664.000
1963M11,603.000
1963M12,643.000
1964M01,580.300
1964M02,588.100
1964M03,637.200
1964M04,649.100
1964M05,706.400
1964M06,661.800
1964M07,710.400
1964M08,733.200
1964M09,729.000
1964M10,732.100
1964M11,705.500
1964M12,684.200
1965M01,688.500
1965M02,672.300
1965M03,785.000
1965M04,790.300
1965M05,826.400
1965M06,845.600
1965M07,887.100
1965M08,900.000
1965M09,869.200
1965M10,877.800
1965M11,857.900
1965M12,839.700
1966M01,763.900
1966M02,824.300
1966M03,977.300
1966M04,990.100
1966M05,1042.500
1966M06,1015.100
1966M07,1040.500
1966M08,1054.900
1966M09,1041.800
1966M10,1083.700
1966M11,1009.100
1966M12,968.800
1967M01,898.900
1967M02,942.000
1967M03,1090.500
1967M04,1165.200
1967M05,1136.800
1967M06,1170.000
1967M07,1107.900
1967M08,1115.600
1967M09,1199.800
1967M10,1164.000
1967M11,1077.900
1967M12,1030.800
1968M01,1027.400
1968M02,1112.500
1968M03,1217.500
1968M04,1218.600
1968M05,1303.100
1968M06,1199.000
1968M07,1298.200
1968M08,1315.300
1968M09,1315.400
1968M10,1391.400
1968M11,1294.400
1968M12,1215.500
1969M01,1145.200
1969M02,1179.200
1969M03,1315.700
1969M04,1330.200
1969M05,1417.900
1969M06,1373.200
1969M07,1429.400
1969M08,1430.700
1969M09,1388.700
1969M10,1417.600
1969M11,1342.000
1969M12,1242.900
1970M01,1076.000
1970M02,1252.800
1970M03,1414.500
1970M04,1469.900
1970M05,1472.100
1970M06,1404.900
1970M07,1426.100
1970M08,1439.600
1970M09,1428.100
1970M10,1473.500
1970M11,1427.600
1970M12,1251.000
1971M01,1065.700
1971M02,1273.400
1971M03,1406.700
1971M04,1366.200
1971M05,1467.700
1971M06,1455.700
1971M07,1512.800
1971M08,1518.000
1971M09,1466.800
1971M10,1519.600
1971M11,1496.500
1971M12,1444.100
1972M01,1268.700
1972M02,1389.700
1972M03,1591.000
1972M04,1617.700
1972M05,1703.500
1972M06,1677.000
1972M07,1678.200
1972M08,1810.500
1972M09,1731.200
1972M10,1711.000
1972M11,1680.200
1972M12,1582.300
1973M01,1552.600
1973M02,1690.200
1973M03,1943.100
1973M04,1741.600
1973M05,1955.200
1973M06,1918.300
1973M07,1888.900
1973M08,1886.200
1973M09,1883.700
1973M10,1914.500
1973M11,1903.100
1973M12,1848.000
1974M01,1864.000
1974M02,1723.000
1974M03,2001.000
1974M04,2008.000
1974M05,2115.700
1974M06,2015.200
1974M07,1962.500
1974M08,1955.600
1974M09,1978.400
1974M10,2097.700
1974M11,1995.500
1974M12,1943.800
1975M01,1688.500
1975M02,1761.500
1975M03,1851.800
1975M04,1987.100
1975M05,2176.800
1975M06,2270.000
1975M07,2166.800
1975M08,2101.300
1975M09,2088.400
1975M10,2194.100
1975M11,1943.400
1975M12,1740.100
1976M01,1715.400
1976M02,1766.500
1976M03,2174.300
1976M04,2186.400
