"Exper" "Ventas"
22 105.22
46 154.55
42 148.25
21 106.8
20 104.93
30 125.16
39 143.33
14 93.93
61 188.29
65 196.81
15 97.07
60 187.31
64 195.37
26 119.54
25 117.68
54 176.08
29 126.24
47 162.29
74 216.56
45 158.69
69 207.31
24 117.47
44 157.72
36 142.24
19 108.48
67 204.59
56 182.76
38 146.93
53 177.01
13 97.01
58 187.08
51 173.47
62 195.46
71 213.46
34 139.61
11 93.79
77 225.84
72 216.88
28 129.3
75 223.34
73 219.97
63 200.17
41 156.37
10 95.14
55 185.57
32 139.9
78 232.46
17 112.7
70 219.22
49 179.57
