obs,IBEX35
1,0.5233398012
2,0.8820699029
3,-0.1085202827
4,-1.0858515544
5,-0.1230936364
6,0.0999315141
7,-0.472513124
8,-0.0902498346
9,-1.0473682873
10,-0.666224361
11,-1.5490054474
12,0.3631337904
13,-0.3755814046
14,-0.242071974
15,0.1039787421
16,-0.5160054789
17,-1.4481771513
18,0
19,-0.2189849131
20,0.4318612444
21,-0.0704711932
22,0.2327904141
23,0.559566238
24,0.8223799019
25,1.5515512504
26,0.1469666761
27,-0.3685939859
28,-0.2226469834
29,-1.0265604162
30,-0.3156771497
31,-0.7063741034
32,0.3118708572
33,0.020957047
34,-0.3038604139
35,-0.157662368
36,-0.9614754429
37,-1.0346149607
38,0.1682525034
39,-0.6898292744
40,-1.3424787266
41,0.609220468
42,0.2357042863
43,-0.6981463544
44,0.3460710767
45,0
46,-0.4174922194
47,0.0765503652
48,0.2732040944
49,0.1997949279
50,-0.4024133293
51,-0.3640467912
52,-0.8183719047
53,-0.3610172587
54,-0.3548789767
55,-0.8830292016
56,-0.4117536212
57,-0.2894082172
58,-1.8132184881
59,-1.3206859221
60,0.1478920679
61,-1.7986975505
62,-0.5736114953
63,-0.461567708
64,-0.6875206464
65,-2.8215160101
66,0.4555895954
67,0.3916980508
68,0.6324754839
69,0.8693031287
70,1.2218584216
71,0.8873883202
72,0.8359491708
73,1.9331338142
74,1.4763338542
75,2.0815469788
76,-0.7181317618
77,1.3005395688
78,0.6363751574
79,-1.8934089403
80,0.1011877669
81,-0.5727781187
82,-0.4593068608
83,-0.3820900209
84,0.57337267
85,0.2869184436
86,0.7604820645
87,0.8966750361
88,0.2222081993
89,0.4803159927
90,0.2426952187
91,1.1224680972
92,0.4244098452
93,-0.0866626935
94,-0.354303913
95,-0.4463036913
96,0.2369158217
97,-0.2181589328
98,-0.0546389607
99,-0.4229135212
100,-0.4100860905
101,0.2500015931
102,0.9204626612
103,0.472383679
104,0.0216856898
105,0.4989981812
106,0.5037058092
107,-0.7517894745
108,-0.3643000563
109,-0.3837417516
110,0.3743424918
111,0.2751752517
112,0.1047047037
113,-0.1334693769
114,-0.4514590681
115,-0.4499014421
116,-0.1603343639
117,0.8358975003
118,0.9520902246
119,0.8606510159
120,0.967005485
121,-0.2429542536
122,0.229438718
123,0.6339229106
124,0.3604736472
125,0.0627420186
126,0.540127842
127,0.6239036266
128,-0.4408928056
129,-0.3598545513
130,0.7951800896
131,0.7165679692
132,0.2359986402
133,0.8838047442
134,0.3348468663
135,1.2709914202
136,-0.5592719801
137,-1.6738078655
138,0.3846967784
139,0.6817307132
140,-2.3209636603
141,0.579338149
142,0.0445756536
143,-0.753942581
144,-1.0912806307
145,-1.1277077452
146,0.0918404585
147,0.3315901409
148,-1.0548636945
149,-4.5666320514
150,-6.3863852925
151,3.8704527124
152,-1.7845961558
153,0.3470383742
154,-0.4080330843
155,-2.9535401159
156,0.8161380733
157,1.7626590258
158,-3.0175059258
159,0.0889138365
160,-3.2740959726
161,-0.4424467653
162,-4.301328838
163,1.3185964148
164,6.0705588273
165,1.6264927389
166,-0.962685802
167,1.7091223992
168,0.2786914268
169,-1.1435727198
170,-1.5344618684
171,-1.5828453609
172,-1.7119191224
173,12.3482010433
174,-9.3130650219
175,-1.6184482526
176,-0.7026232377
177,-1.8558553657
178,-1.713927471
179,-0.6149626872
180,-2.3733840361
181,0.3485986148
182,-0.43761589
183,-1.227937987
184,-2.2938435995
185,-2.8640734352
186,-0.1450233644
187,1.229531155
188,-1.4584927655
189,2.6835684126
190,4.9858101931
191,-0.4186382547
192,-1.4917056526
193,-0.1560272485
194,2.3072060186
195,-2.1877780993
196,-1.0563539396
197,-0.8541349941
198,0.8427361217
199,0.6639369403
200,1.9370565015
201,2.7237446065
202,1.6869081305
203,1.0569312975
204,2.8845543098
205,-0.3291280345
206,0.4054316059
207,-1.6650996691
208,-0.3895169021
209,-1.5767045204
210,-0.548349207
211,-1.6629160126
212,0.3929705104
213,0.0923069853
214,-0.4657112652
215,-0.5827343162
216,2.1713134259
217,0.126038526
218,-0.3776290099
219,0.1873496392
220,0.1522388529
221,0.9379004189
222,-0.4000918337
223,-0.2418524276
224,0.1601706796
225,-0.6570606075
226,-1.4837426335
227,0.4019300059
228,0.2331321525
229,-0.2282074869
230,0.6994086949
231,2.3895325387
232,-0.6058568313
233,0.9915376048
234,2.0486415527
235,1.012059792
236,-0.4287988288
237,0.3768109612
238,0.0907772052
239,-1.2406068718
240,-1.9824179277
241,0.2895258624
242,-0.9637408556
243,-2.1391374479
244,0.2496804932
245,-1.3327613782
246,-0.9344164471
247,0.5319598858
248,-1.8320751573
249,0.6704134144
250,1.1833743603
251,-1.0183293861
252,-0.8940669279
253,2.6701070726
254,-2.9715665896
255,-0.0910125041
256,-2.017754487
257,0.5438687542
258,-0.166447705
259,7.0763920555
260,-1.5094773548
261,-1.1417316123
262,-0.8751298813
263,-0.542207837
264,1.8068209106
265,0.7390883655
266,0.6502299557
267,0.100352304
268,2.3198309188
269,-0.545505603
270,-0.2485134959
271,1.976008177
272,1.0489025758
273,0.3585267945
274,0.8432250285
275,0.5684411719
276,2.2117646259
277,-0.3446339119
278,0.9449415806
279,0.8683796772
280,0.5489066555
281,1.6339140093
282,-0.5603713707
283,-0.6489765581
284,0.7236646397
285,1.3786214222
286,2.1451920668
287,-1.7888596451
288,0.3818355609
289,-0.2282317311
290,-0.7854051805
291,0.1805957135
292,1.668667223
293,1.4186479215
294,0.0371932916
295,1.5024407251
296,1.718313296
297,-0.8428535085
298,-0.2760582766
299,0.9142664952
300,1.2994248367
301,0.616467386
302,-2.6631534579
303,0.7713012546
304,-1.3792091278
305,0.2819303834
306,0.9637545025
307,0.8461323404
308,0.7386281173
309,-0.0356096236
310,-0.0391515076
311,-1.4532515827
312,-0.1915921473
313,-0.7532252221
314,0.623918812
315,-0.8086202542
316,0.5483747656
317,0.4544792839
318,0.8288444477
319,-0.1830659966
320,0.5142430694
321,-0.0071364176
322,-0.4794757006
323,-0.9275832697
324,0.8128775381
325,-0.1007673204
326,-0.5585357127
327,-0.7428254011
328,-0.2373044144
329,0.8270064676
330,-0.1887076833
331,0.039984333
332,0.3453038429
333,-0.0362138511
334,1.206636781
335,1.0490966535
336,0.2338205763
337,0.6539729784
338,0.2176978678
339,-0.8409831915
340,1.0001254525
341,-0.199462479
342,-0.1647747952
343,0.5864604048
344,-0.8693407802
345,0.2958440981
346,-0.3651949816
347,0.3630142296
348,0.2563407666
349,0.2592000629
350,0.775632507
351,-0.0312147823
352,0.4854957068
353,-0.4969764681
354,-1.0647621348
355,0.6030037037
356,-0.125452005
357,0.1081642823
358,-0.6448213142
359,-0.2034519517
360,-0.0280964661
361,-0.4148870027
362,-1.3381656316
363,-0.6548479569
364,0.4214350479
365,-0.0143622408
366,-0.4161443914
367,0.6160156325
368,0.0716363812
369,-1.5063182259
370,0.3123860635
371,-0.2788246238
372,-1.1330368041
373,0.9623400195
374,-0.5202122381
375,-1.4701469317
376,-0.0260071024
377,-0.3230070363
378,-1.2067719559
379,1.0895568974
380,0.7794871982
381,0.192415885
382,-0.6057346087
383,-0.869534292
384,0.4423193753
385,0.8957227925
386,0.7916101033
387,-0.7853928541
388,-0.1072867576
389,0.0518838381
390,0.5514237976
391,-0.0515186314
392,-0.2577798797
393,0.823374972
394,0.8019883145
395,0.9118329407
396,-1.3716243671
397,0.5219668164
398,-0.4720577838
